frame,xc,yc,width,height,theta,no_x,no_y,ne_x,ne_y,ta_x,ta_y
0,1101.2773,681.70776,195.31213,469.94693,0.063335426,1123.7909,907.1449,1127.5334,862.4352,1139.5017,475.27542
0,490.8695,715.7377,203.52441,387.11194,-0.036949597,423.91895,884.3331,516.713,872.82513,558.31165,549.50824
0,333.08087,721.1758,165.5154,400.31036,-0.032474793,283.58325,908.7108,341.88434,869.08136,354.29572,543.04205
0,837.4678,94.02868,187.72925,197.83115,1.5985248,773.0824,134.61565,799.7365,110.17249,854.5153,3.7926114
1,1101.2211,681.89935,196.26056,470.10788,0.06306146,1124.0231,907.51324,1127.5786,862.5605,1139.497,475.34103
1,491.24933,715.8894,203.85379,387.58142,-0.038128957,424.28,881.729,518.05145,873.4015,559.9244,549.45264
1,333.0812,721.1372,165.7653,400.22858,-0.031173682,283.27533,908.9447,341.5868,869.24963,354.26486,543.1071
1,838.546,91.281624,182.4447,194.54965,1.6238793,747.6723,131.35645,799.62085,110.52404,882.8183,3.0087435
2,1101.2129,681.89655,196.26208,470.0974,0.06304373,1124.0144,907.5047,1127.5752,862.5403,1139.493,475.33752
2,491.24738,715.8801,203.84427,387.5728,-0.0382151,424.29404,881.72986,518.0642,873.39703,559.92346,549.4591
2,333.07614,721.13354,165.656,400.21265,-0.03137008,283.27194,908.9336,341.58685,869.2587,354.2219,543.10034
2,838.47485,91.414505,182.70715,194.83118,1.6215281,747.6869,131.4629,799.70197,110.51913,882.6744,3.0349288
3,1101.9294,682.2366,199.7461,468.6679,0.05942819,1124.3641,907.0974,1130.0634,862.8556,1142.8726,475.82098
3,490.87198,715.96857,203.5794,387.42358,-0.03542307,424.76083,882.97687,517.8538,873.18616,558.9708,549.4358
3,333.1244,720.9833,166.17891,399.90002,-0.028387114,283.48956,908.59094,342.2357,870.29895,354.74802,542.96106
3,843.52747,90.120735,180.1048,184.0266,1.7034304,754.3322,121.91987,797.4417,108.69607,888.1119,3.5546596
4,1101.706,682.3254,200.02893,468.92282,0.057627816,1124.7323,907.4539,1130.2115,863.58856,1142.8527,475.64743
4,490.62433,715.45654,202.4347,388.09985,-0.04035251,424.53894,885.64734,516.8751,873.97845,557.3662,549.37146
4,842.3978,90.86623,181.6441,188.31451,1.6580892,755.5389,123.096016,800.1638,107.878334,880.2709,3.8247864
4,333.1175,720.96814,166.32433,399.92145,-0.028910596,283.54913,908.6125,342.28677,870.4001,354.85556,542.93463
5,1100.9337,681.8654,198.7702,468.79236,0.05655749,1124.6002,906.8421,1130.0939,863.2607,1142.808,475.12527
5,490.56866,715.6808,202.53394,388.45575,-0.038374696,424.5333,885.79553,515.9239,873.7417,556.5243,549.278
5,333.08798,720.9387,165.88637,399.89484,-0.029460177,283.66534,908.699,342.22852,870.3461,354.98224,542.89923
5,845.7416,90.241165,180.26227,180.47314,0.12013861,761.6894,114.509315,803.872,105.46086,884.84064,3.9346201
6,1100.5748,681.76904,196.96503,471.5019,0.059052356,1123.7822,908.40204,1127.067,865.35406,1139.1398,474.24152
6,489.697,715.4761,201.05646,387.4184,-0.037647437,423.60797,888.9797,513.22595,873.4923,551.5004,549.41547
6,333.12054,721.00775,165.93033,399.72266,-0.029217428,283.71005,908.5494,342.32172,870.4663,355.02707,543.06354
6,845.9297,89.73143,179.35748,179.53076,0.12174722,763.623,110.645584,806.3958,103.23088,885.38873,4.034762
7,1100.5718,681.76776,196.9726,471.50162,0.05905465,1123.7793,908.4014,1127.0653,865.35376,1139.135,474.24286
7,489.6958,715.4752,201.05594,387.40485,-0.03764592,423.61237,888.97736,513.22565,873.4907,551.488,549.41815
7,333.1218,721.0016,165.96803,399.7364,-0.02911752,283.7042,908.54626,342.32953,870.4577,355.02676,543.0542
7,845.95056,89.78568,179.26709,179.639,0.12261473,763.66095,110.68348,806.32104,103.33757,885.34174,4.0386915
8,1100.4346,682.0339,200.55017,471.06363,0.054689232,1124.4607,908.14606,1129.5024,866.1291,1142.8628,474.72528
8,489.3794,715.45667,200.51108,387.357,-0.038094454,423.41272,889.0462,512.33093,873.28955,550.402,549.3133
8,848.5136,89.205864,173.6222,178.57014,0.23728794,764.7395,105.56844,805.72156,104.59549,887.2012,3.7553387
8,333.27655,721.0378,165.93808,399.5437,-0.029805038,283.4728,908.5024,342.47733,870.0671,354.9036,543.20966
9,1100.0698,681.7442,197.91925,473.28674,0.056586243,1123.8325,909.61487,1126.8413,867.5056,1139.1302,473.6685
9,489.53192,715.6497,200.64151,387.74426,-0.038100168,423.40387,889.1495,512.2399,873.5452,550.6033,549.2862
9,333.38226,720.99725,166.35722,399.51807,-0.028077886,282.8602,908.6039,342.6353,870.2126,354.46967,543.3316
9,848.4769,87.10465,172.36566,174.35777,0.2622456,763.20764,103.26449,803.96045,102.29614,887.3461,3.8238919
10,1100.7917,681.6935,203.2904,472.36694,0.05284569,1125.9591,908.9658,1130.4773,867.32886,1143.741,473.57617
10,489.60016,716.0362,200.76587,388.80444,-0.037893277,423.75424,889.0846,512.867,873.7675,551.57764,549.13556
10,333.53162,720.92706,166.28864,399.45862,-0.02890205,282.93573,908.215,342.77618,869.7046,354.98166,543.20496
10,848.65076,86.95949,174.11505,174.21426,0.2351756,769.48865,94.40227,806.79706,100.91997,882.59937,3.6875334
11,1100.1201,681.67334,204.12103,472.2145,0.05151827,1126.2288,908.8512,1130.6746,867.63904,1144.1449,473.59323
11,489.51807,716.54944,201.47034,389.8266,-0.033716876,423.83066,890.5606,513.27545,874.22424,551.6803,548.98883
11,333.3972,720.9882,165.90733,399.7444,-0.028856354,283.40112,908.63684,342.57422,869.942,354.89365,542.9829
11,846.7576,92.82151,180.14294,185.66386,0.103301756,791.0786,93.20902,810.22455,99.5801,852.7246,4.8097367
12,1101.164,682.12616,199.89252,473.42563,0.05607248,1125.7572,910.405,1127.824,869.38354,1139.1093,473.94897
12,489.40857,716.4877,201.29276,389.4956,-0.032485813,423.51343,891.98474,512.77734,874.18097,550.52435,548.95886
12,333.4322,720.9562,165.72327,399.90778,-0.029388292,283.3205,908.794,342.8412,870.016,354.93835,542.88605
13,1100.3704,681.71326,195.74377,473.05182,0.05723973,1122.9758,909.47626,1126.2612,869.95465,1138.5293,473.7249
13,489.055,716.5849,200.75485,389.39697,-0.030486017,423.4365,892.8132,512.24084,874.18506,548.8,549.02466
13,333.55542,720.9266,166.17105,400.0796,-0.02755924,283.52588,908.7795,342.6109,870.0081,354.55292,542.73157
14,1100.4733,681.7174,196.06512,473.09158,0.057377573,1123.0725,909.5149,1126.3099,869.9228,1138.5568,473.73572
14,489.06732,716.5623,200.78284,389.34216,-0.030469751,423.4226,892.79095,512.2595,874.2222,548.81665,549.035
14,333.56088,720.92114,166.19112,400.0688,-0.027601153,283.5091,908.74927,342.60632,869.96844,354.5418,542.7422
15,1099.3257,682.0518,192.94702,473.189,0.058045648,1121.0052,909.63605,1125.049,870.0566,1138.5071,474.22125
15,489.11108,717.02527,201.54196,388.47498,-0.027299939,423.50226,891.8261,513.3165,872.6736,550.58093,549.29834
15,333.69345,721.11255,165.91467,399.90363,-0.02663999,283.80304,908.9149,342.93277,870.4817,355.18442,542.884
16,1097.9459,681.4996,190.37274,471.2606,0.055709757,1119.7876,907.6481,1124.3467,868.3151,1138.5359,474.3007
16,489.18347,716.6494,200.56015,389.85675,-0.033455655,423.6908,891.6735,511.84497,873.7852,548.5292,548.93665
16,333.634,721.23584,166.22755,399.9444,-0.025284287,283.97162,909.22644,343.09457,870.659,355.769,542.92816
17,1097.4028,681.1013,189.38153,469.46753,0.0569278,1119.1421,906.0689,1123.4958,868.1168,1138.2136,474.50745
17,488.95126,716.8113,199.51971,390.14093,-0.035884757,423.75595,892.0993,510.8351,873.4137,547.7871,548.9919
17,333.5758,721.20605,166.03621,399.9942,-0.025808493,284.0068,909.1613,343.0361,870.4243,356.13782,542.90735
17,856.0545,79.776375,163.0033,164.88416,2.1811323,777.1854,89.904274,837.0996,105.51678,892.735,0.06928635
