frame,xc,yc,width,height,theta,no_x,no_y,ne_x,ne_y,ta_x,ta_y
0,900.1658,336.01462,159.6264,413.31122,1.9248185,1091.1444,382.54556,1052.8751,369.38797,729.2143,253.90776
0,490.9718,104.6172,149.08997,272.93936,1.4729604,500.93176,72.29631,385.5209,74.91541,457.6983,45.79498
0,864.7488,548.6167,155.15497,419.01205,2.2033997,1039.5444,646.01495,995.0256,621.44214,706.4007,445.8074
0,344.91974,673.6619,162.28012,273.3009,0.35489535,369.6677,798.43085,307.75104,768.4937,336.47476,556.55164
0,1163.0715,357.32513,127.14075,357.51892,0.55574894,1249.7203,214.6038,1240.988,237.76195,1085.0027,469.42352
0,1131.8779,236.41953,116.62561,310.61496,0.68376964,1223.9965,127.90794,1206.4294,141.63242,1040.6738,314.28647
0,1225.1455,491.12875,123.84949,349.3963,0.76058936,1354.8435,400.83673,1333.459,402.0071,1145.7013,585.1077
0,941.0182,113.978096,137.73572,306.44125,1.2951685,796.53265,135.23836,849.62726,124.08707,1058.6328,48.61417
0,295.25488,189.44034,147.77997,237.52335,1.119391,358.07224,218.24622,208.00377,204.52376,186.23976,112.01228
0,1032.9387,190.09134,129.00226,294.15723,0.76387876,1121.5476,88.09352,1097.0156,102.17962,936.0593,255.85617
0,279.56476,565.69507,112.64923,230.11285,0.33124006,234.33807,474.94702,275.9339,498.6924,335.7721,662.32245
0,1469.5444,557.6401,127.53894,352.47507,-0.119575605,1451.6346,398.52017,1468.6229,434.68286,1507.8561,710.49677
0,1314.8007,680.0122,176.84937,393.09723,0.08272457,1372.7413,504.77454,1373.2052,547.9072,1313.4414,855.18463
0,331.88287,351.2136,144.23825,195.42574,2.5466232,356.9811,302.13818,320.64746,291.87375,357.35803,426.7712
1,900.17993,335.9967,159.30719,413.35187,1.9262224,1091.1959,382.72025,1052.9028,369.5565,729.2107,253.9379
1,490.65524,104.54726,149.28278,273.33304,1.4803582,431.21185,72.75773,385.27917,75.1348,526.1441,45.889072
1,864.78296,549.1037,154.07733,419.94754,2.1990528,1039.4132,647.7902,994.9596,621.3963,705.31726,446.1825
1,344.64386,673.82666,162.63098,274.1208,0.35478422,370.06195,798.0614,309.23346,769.5005,336.5932,556.46246
1,1163.0662,357.42065,127.04785,357.3394,0.5563657,1249.788,214.5899,1241.2202,237.94682,1085.5688,469.16766
1,1131.7703,236.34904,116.506714,310.9533,0.68375605,1223.8137,127.50078,1206.3544,141.68611,1040.6771,314.70682
1,1225.9773,489.93903,123.3407,348.5195,0.75922257,1355.2563,399.30334,1332.7463,401.18402,1142.7079,585.1121
1,941.75073,113.535034,136.80225,307.5597,1.2888869,796.9268,135.48468,849.6681,124.14215,1059.99,48.790527
1,295.92865,188.3703,145.29208,236.81107,1.107681,357.40735,216.9724,207.6856,204.52158,187.28146,112.2296
1,1033.0095,190.06473,128.40509,293.86624,0.76099676,1121.2722,87.91172,1097.0938,102.3973,936.523,255.82635
1,279.51703,565.5033,111.952225,230.10635,0.3358665,234.09915,474.7496,276.18832,498.50812,335.86407,662.17786
1,1469.7722,557.206,127.41516,352.79996,-0.1197371,1451.7561,397.91434,1468.7937,434.46805,1507.8667,710.52435
1,1314.6343,680.13605,176.93958,392.582,0.09196305,1373.2383,505.38892,1373.2781,548.2345,1312.5273,855.11346
1,331.49792,350.70703,143.33575,196.86543,2.5431218,357.3506,301.91022,318.91736,291.92953,357.0696,426.98532
